category,name,model,contidition,price,stock
2WD &amp; MFWD TRACTOR,2010 CASE IH 190,190,Used,"$ 89,000 USD",2985282
2WD &amp; MFWD TRACTOR,2012 CASE IH MX125,MX125,Used,"$ 89,000 USD",3082014
GRAIN CART,2013 PARKER 1348,1348,Used,"$ 88,900 USD",3014587
DRAPER HEAD,2019 MACDON FD145,FD145,Used,"$ 88,500 USD",3033629
2WD &amp; MFWD TRACTOR,2016 CATERPILLAR MT535E,MT535E,Used,"$ 88,000 USD",2780317
DRAPER HEAD,2020 MACDON FD140,FD140,Used,"$ 87,900 USD",3060194
PLANTER,2014 CASE IH 1245,1245,Used,"$ 87,740 USD",2960635
DRAPER HEAD,2019 MACDON FD145,FD145,Used,"$ 87,740 USD",2891220
DRAPER HEAD,2021 MACDON FD135,FD135,Used,"$ 87,500 USD",3027674
COMBINE,2010 CASE IH 7120,7120,Used,"$ 86,900 USD",3084809
CORNHEAD,2019 CASE IH 4412,4412,Used,"$ 86,000 USD",2890148
AIR CART,2016 CASE IH 3555,3555,Used,"$ 85,900 USD",2936434
DISK,2019 JOHN DEERE 2680H,2680H,Used,"$ 85,600 USD",3053225
COMBINE,2008 NEW HOLLAND CR9070,CR9070,Used,"$ 85,600 USD",3032986
COMBINE,2008 CASE IH 7010,7010,Used,"$ 85,600 USD",3082902
4WD TRACTOR,2000 CASE IH STX375,STX375,Used,"$ 85,600 USD",2977662
DISK,2019 KWIK TILL HSD4000,HSD4000,Used,"$ 85,065 USD",3052161
COMBINE,2008 CASE IH AFX8010,AFX8010,Used,"$ 85,000 USD",3083471
2WD &amp; MFWD TRACTOR,2011 CASE IH 125,125,Used,"$ 85,000 USD",3018425
PLANTER,CASE IH 1250,1250,Used,"$ 84,958 ",3068319
DRAPER HEAD,2019 MACDON FD145,FD145,Used,"$ 84,958 USD",3010040
2WD &amp; MFWD TRACTOR,2015 CASE IH PUMA 150 CVT,PUMA 150 CVT,Used,"$ 84,958 USD",2930884
SPRAYER- SELF PROPELLED,2005 CASE IH SPX4410,SPX4410,Used,"$ 84,530 USD",3008800
COMBINE,2011 CASE IH 7120,7120,Used,"$ 84,530 USD",3076663
COMBINE,2010 CASE IH AF7120,AF7120,Used,"$ 83,880 USD",3075661
COMBINE,2009 CASE IH 6088,6088,Used,"$ 83,460 USD",3045030
4WD TRACTOR,1999 CASE IH 9370,9370,Used,"$ 83,000 USD",2027280
CORNHEAD,2019 MACDON C3012C,C3012C,Used,"$ 82,630 ",3068458
DISK,2019 KRAUSE 8050,8050,Used,"$ 82,390 USD",2966821
COMBINE,2010 JOHN DEERE 9770STS,9770STS,Used,"$ 82,280 USD",3068166
CORNHEAD,2018 CASE IH 4412,4412,Used,"$ 81,000 USD",2890147
FIELD CULTIVATOR,2017 CASE IH T255,T255,Used,"$ 81,000 USD",2938395
